"","species","site","trees","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","totAB"
"134","PCRU","HOW2",69,"D",49.4,19.1,268,1462194.573,5079313.772,-0.666580387,-19.0883648,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",1029.28642896054
"135","PCRU","HOW1",107,"C",21.7,6.4,13,1462564.116,5079334.3,6.235968415,1.439686748,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",170.852727456635
"136","PCRU","HOW2",9,"D",38.6,11.4,48,1462202.868,5079341.332,7.628088912,8.47185101,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",600.690001661783
"137","PCRU","HOW2",19,"C",28.8,16.5,63,1462202.731,5079347.562,7.490843246,14.70160765,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",316.945155489235
"138","PCRU","HOW2",47,"D",21.2,18.2,356,1462213.396,5079331.59,18.15566571,-1.269567822,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",162.375873955854
"139","PCRU","HOW2",105,"C",33.8,19.9,154,1462177.354,5079341.584,-17.88600152,8.723585821,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",449.526681145337
"140","PCRU","HOW2",93,"C",25.1,9.6,140,1462187.886,5079339.031,-7.354026654,6.170761053,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",234.756729846953
"141","PCRU","HOW3",77,"I",23.4,19.5,300,1462129.52,50793316.64,9.75,-16.88749537,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",201.432032042722
"142","PCRU","HOW2",91,"C",29.2,14.3,137,1462184.782,5079342.613,-10.45835793,9.752576549,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",326.633768760483
"143","PCRU","HOW3",81,"D",37.1,16.1,253,1462115.063,50793318.13,-4.707184446,-15.39650657,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",550.901001476929
"144","PCRU","HOW3",70,"C",30.6,16,88,1462120.328,50793349.52,0.558391947,15.99025323,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",361.793026118321
