"","species","site","trees","meanRW","year","rACUM","rACUM.inv","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","dbhest1","dbhest2","AB","annAB","annAB.ha"
"79","ACRU","HOW1",117,0.573,1964,18.3235,30.485,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",8.2884,8.403,20.0254790409002,0.643995618289945,5.12475429901831
"80","ACRU","HOW1",117,0.373,1940,6.1745,42.634,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",5.8986,5.9732,8.88674323007072,0.261921104939609,2.08430192756149
"81","ACRU","HOW1",117,0.2625,1938,5.4375,43.371,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",5.7733,5.8258,8.37359123537684,0.178508485816755,1.42052539507931
"82","ACRU","HOW1",117,0.6135,1963,17.7505,31.058,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",8.1657,8.2884,19.3814834226103,0.676019119705211,5.3795892262858
"83","ACRU","HOW1",117,0.481,1956,14.084,34.7245,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",7.4589,7.5551,15.5461325983437,0.467067629715546,3.71680610137221
"84","ACRU","HOW1",117,0.4795,1934,4.3365,44.472,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",5.5097,5.6056,7.639754666749,0.307452858957401,2.44663211354028
"85","ACRU","HOW1",117,0.601,2002,41.4195,7.389,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",12.902,13.0222,56.8138222426746,1.24037115681195,9.87056004376175
"86","ACRU","HOW1",117,0.116,1959,15.305,33.5035,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",7.7761,7.7993,16.7690541274263,0.118494623000281,0.942950249015263
"87","ACRU","HOW1",117,0.6675,1933,3.857,44.9515,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",5.3762,5.5097,7.3323018077916,0.41585507708926,3.30926955643085
"88","ACRU","HOW1",7,0.3515,1946,21.997,44.836,"C",27,7.34,276,1462558.647,5079325.56,0.76723892,-7.299790712,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",17.9625,18.0328,123.308244603278,1.14120761086761,9.08144161818361
"89","ACRU","HOW1",117,0.3325,1935,4.669,44.1395,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",5.6056,5.6721,7.85726289336362,0.217508226614621,1.73087547144346
"90","ACRU","HOW1",117,0.3345,1936,5.0035,43.805,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",5.6721,5.739,8.07966034740368,0.222397454040062,1.76978270707643
"91","ACRU","HOW1",7,0.272,1945,21.6455,45.1875,"C",27,7.34,276,1462558.647,5079325.56,0.76723892,-7.299790712,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",17.9081,17.9625,122.167036992411,0.878876187536348,6.99387448060848
"92","ACRU","HOW1",117,0.2455,1942,6.572,42.2365,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",6.0036,6.0527,9.17088206732676,0.176099240234617,1.40135322790333
"93","ACRU","HOW1",117,0.693,1965,19.0165,29.792,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",8.403,8.5416,20.8207005155659,0.795221474665669,6.32817142729338
"94","ACRU","HOW1",117,0.554,1966,19.5705,29.238,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",8.5416,8.6524,21.4693694998772,0.648668984311317,5.16194376417726
"95","ACRU","HOW1",117,0.4515,1945,7.773,41.0355,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",6.2026,6.2929,10.0610630759963,0.34026395747047,2.70773453937179
"96","ACRU","HOW1",117,0.38,1946,8.153,40.6555,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",6.2929,6.3689,10.3527165610858,0.291653485089531,2.32090469109886
"97","ACRU","HOW1",117,0.7445,1947,8.8975,39.911,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",6.3689,6.5178,10.9381895866112,0.585473025525339,4.65904630296626
"98","ACRU","HOW1",117,0.735,1948,9.6325,39.176,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",6.5178,6.6648,11.5345915089637,0.59640192235256,4.74601570059593
